S,Feedback,Sentiment
173,The iGo chargers and tips are really great.,1
846,Used and dirty.,0
639,Disappointing accessory from a good manufacturer.,0
435,Warning - Stay away.,0
88,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
739,I great reception all the time.,1
100,Integrated seamlessly with the Motorola RAZR phone.,1
931,This pair of headphones is the worst that I have ever had sound-wise.,0
774,"Excellent sound, battery life and inconspicuous to boot!.",1
666,Nice Sound.,1
554,I give Wirefly 1 star.I will contact Cingular/AT&T;  and inform them of this practice,0
498,Bad Purchase.,0
854,Comfortable in my hand.,1
529,Razr Battery - Good buy.,1
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
479,I'd like to return it.,0
671,"A must study for anyone interested in the ""worst sins"" of industrial design.",0
441,"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0
506,I would not recommend this item to anyone.,0
703,lightweight and works well.,1
53,This phone is pretty sturdy and I've never had any large problems with it.,1
725,I have always used corded headsets and the freedom from the wireless is very helpful.,1
70,Mic Doesn't work.,0
838,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
161,Great charger.,1
191,Any ring tone..Overall good phone to buy..,1
131,The accompanied software is almost brilliant.,1
844,It's not what it says it is.,0
950,It is a joy to use.,1
442,They made this case too small and is very difficult to install.,0
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
360,Nice design and quality.,1
618,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
659,"It felt too light and ""tinny."".",0
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
713,"jabra ear gels ""R"" the best!.",1
930,Never got it!!!!!,0
676,"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0
510,This frog phone charm is adorable and very eye catching.,1
493,I had Verizon 2 years ago and really liked their service.,1
82,"Well packaged, arrived on time, and works as intended.",1
870,Works fine.,1
350,Were JERKS on the phone.,0
81,Not a good bargain.,0
